name,loc,tweet,time,rt,rt_name
 SparkstoneTechnology," Southampton, Hampshire"," Most mortgages go to first-time buyers, Halifax research shows ",23-02-2019 04:02,,
,,,,,
 Leo B. Doyle," Ottawa, Cape Breton, Vancouver", RT @DavidNapier23: Halifax mourns. ,23-02-2019 04:00,,
,,,,,
 BCABA Network," West Midlands, England"," Most mortgages go to first-time buyers, Halifax research shows  via @bcabanetwork ",23-02-2019 03:59,,
,,,,,
 Intello MAGAZINE, Haiti, RT @CGTNFrancais: #Canada: 7 enfants d mxeame famille #syrienne ont perdu la vie dans l qui a ravagxe9 leur maison d sur,23-02-2019 03:59,,
,,,,,
 sonea5656," Dhaka, Bangladesh"," RT @Rob_Scanlan: If your dream home has a Private beach, ocean views from every room and 200 ft of water frontage I have the place for you.",23-02-2019 03:58,,
,,,,,
 Sherri Turner," Nova Scotia, Canada", RT @acadia_alumni: We're celebrating the AUS Championships next weekend with pre-game gatherings at The Pint in Halifax! Join us before the,23-02-2019 03:58,,
,,,,,
 ViperNebulous, United States," Most mortgages go to first-time buyers, Halifax research shows  Aspiring homeowners need a xa3 ",23-02-2019 03:57,,
,,,,,
 HEDGE energy, ask why?," New Article: Most mortgages go to first-time buyers, Halifax research shows  #WorldNews February 22, 2019",23-02-2019 03:56,,
,,,,,
 Ben Fisk," Victoria, British Columbia", RT @Pacificfccpl: .@benfisk with the lowdown on our club inaugural match vs. @HfxWanderersFC! #ForTheIsle Club Release: ,23-02-2019 03:55,,
,,,,,
 Sonia So, Hong Kong," Most mortgages go to first-time buyers, Halifax researchxa0shows ",23-02-2019 03:54,,
,,,,,
 Sarah Beck, , RT @MikeSavageHFX: My heart will be in Halifax tomorrow when our community honours the lives of the seven Barho children. The @ummahmasjid,23-02-2019 03:54,,
,,,,,
 Julietta LaBlanc," Halifax, Nova Scotia"," If you're in Halifax, check out these restaurants. They will be making donations to the Batho Family following thei ",23-02-2019 03:52,,
,,,,,
 Sean McKeague, Canada, @TysonLW @NLL @PGreggy Those Halifax jerseys are sick.,23-02-2019 03:52,,
,,,,,
 Asif," London, UK"," RT @PMA_Accountants: Most mortgages go to first-time buyers, Halifax research shows: Aspiring homeowners now need a xa332,000 deposit - or xa31",23-02-2019 03:51,,
,,,,,
 PMA Accountants," Wanstead, London, E11"," Most mortgages go to first-time buyers, Halifax research shows: Aspiring homeowners now need a xa332,000 deposit - or ",23-02-2019 03:51,,
,,,,,
 Sergei Ardzinba, Sukhumi-Abkhazia," Apsny News English: Most mortgages go to first-time buyers, Halifax research shows ",23-02-2019 03:50,,
,,,,,
 FHS YEARBOOK, Freedom High School, RT @Freedom_BBall: Freedom falls 62-68 to Potomac Falls in Regional final. Kids fought hard to overcome a slow start to cut a 14pt deficit,23-02-2019 03:47,,
,,,,,
 carol johnson, , RT @Freedom_BBall: Freedom falls 62-68 to Potomac Falls in Regional final. Kids fought hard to overcome a slow start to cut a 14pt deficit,23-02-2019 03:47,,
,,,,,
 Terry The Teddy, ," Most mortgages go to first-time buyers, Halifax research shows  ",23-02-2019 03:47,,
,,,,,
 Zyite.com, www.zyite.com," Most mortgages go to first-time buyers, Halifax research shows  ",23-02-2019 03:46,,
,,,,,
 RedFox News, New," Most mortgages go to first-time buyers, Halifax researchxa0shows  ",23-02-2019 03:46,,
,,,,,
 mehedi, ," RT @Rob_Scanlan: If your dream home has a Private beach, ocean views from every room and 200 ft of water frontage I have the place for you.",23-02-2019 03:45,,
,,,,,
 Appytechie, ," Most mortgages go to first-time buyers, Halifax researchxa0shows  ",23-02-2019 03:45,,
,,,,,
 U0001d63eU0001d63cU0001d649U0001d63cU0001d63fU0001d63cU0001d641U0001d64aU0001d64aU0001d64fU0001d654U0001d649U0001d640U0001d652U0001d64e," Calgary, Alberta", RT @Pacificfccpl: .@benfisk with the lowdown on our club inaugural match vs. @HfxWanderersFC! #ForTheIsle Club Release: ,23-02-2019 03:45,,
,,,,,
 ex mente tota, ," Most mortgages go to first-time buyers, Halifax research shows ",23-02-2019 03:45,,
,,,,,
 WX Halifax," Halifax, NS, Canada", Fri 23:00: Air Quality Health Index: 3.0. History:  ,23-02-2019 03:44,,
,,,,,
 Pacific FC, Vancouver Island, .@benfisk with the lowdown on our club inaugural match vs. @HfxWanderersFC! #ForTheIsle Club Release: ,23-02-2019 03:44,,
,,,,,
 MC," Sanctuary Swamp, ON", @PORTERmagazine @EllenPage She virulent with her nonsensical hate. Attacking #Trump when #Smollett fake hate case ,23-02-2019 03:44,,
,,,,,
 CTV Windsor," Windsor, Ont.", Funeral to be held for 7 children killed in Halifax fire ,23-02-2019 03:41,,
,,,,,
