name,loc,tweet,time,rt,rt_name
 Halifax Jobs," Halifax, Nova Scotia"," Client Rep: Marsh Canada Limited (Halifax, NS): ""The Client Representative provides excellent client service to dri ",2019-02-25 23:08:54,,
,,,,,
 sara: high powered slobbyist," Calgary, Alberta", RT @CBCNews: Archaeologist says the large chamber underneath Province House in Halifax isn't mentioned in any records or maps. ,2019-02-25 23:08:36,,
,,,,,
 Alyshea Cummins, ," CALL FOR PAPERS for 2019 International Conference on Religion &amp; Film. June 12-14, 2019 at Saint Mary University i ",2019-02-25 23:08:30,,
,,,,,
 Halifax, , @MrsAKnott You can compare our savings accounts to help you find an account that best suits your needs here: ,2019-02-25 23:08:25,,
,,,,,
 Susan Belanger," Lakeshore, Ontario", RT @CBCNews: 'The support [Kawthar Barho] really needs is family around her in a difficult time like this. And I think we all agree with th,2019-02-25 23:06:59,,
,,,,,
 Crawford, , RT @SummitGroupHFX: U0001f4cdU0001f4c8 Market Stats for Metro Halifax #Halifax #HalifaxRealEstate #HalifaxNS #RealEstateStats ,2019-02-25 23:06:24,,
,,,,,
 Clairemichelle2, East Anglia, @thescript So excited that it exactly a month until Halifax and then 2 days later Southend U0001f929 #TheScriptLive2019,2019-02-25 23:06:22,,
,,,,,
 RussianWeek.ca, Toronto,            ,2019-02-25 23:05:57,,
,,,,,
 James Culshaw, LIVERPOOL ENGLAND THE GLOBE, RT @junejmw1408: Petition: Abolish Leasehold. Please sign &amp; share. Keep your hard earned money instead of paying ground rent &amp; other extort,2019-02-25 23:05:47,,
,,,,,
 Heidi Petracek," Halifax, NS", Some members of the Barho family are in #Halifax and more hopefully coming soon.The latest from my @CTVAtlantic col ,2019-02-25 23:05:37,,
,,,,,
 Karen Coleman, Huddersfield," RT @JobsCalderdale: Cultural Services Managerxa346,609 to xa349,523 per annum37 hours per week, permanentHalifax, West Yorkshire#Jobs #Cald",2019-02-25 23:05:17,,
,,,,,
 Dan Phillips," Nova Scotia, Canada", A few of us from the Halifax Library Association were treated to a tour of the Symphony Nova Scotia library by libr ,2019-02-25 23:05:11,,
,,,,,
 Manfred Rosenberg, Canada,  are big red flags Halifax anthropology professor condemns hateful comments on Barho tragedy ,2019-02-25 23:05:07,,
,,,,,
